"analysis_id","draw","replicate","estimand","regime","sites","pooled_sites","pooled_population_share","unweighted_takeup","population_weighted_takeup","expected_takers","population_mean_distance_km","population_p90_distance_km","site_cost","signal_cost","travel_cost","total_cost","target_rate","target_slack_takers","roundtrip_participant_km","taker_mean_distance_km"
"baseline-posterior",1401,1401,"population","bracelet",85,46,0.666232873859993,0.31615892371534,0.332022434016257,31891.4188321295,1.65841082193823,3.24814829764855,85,0,0,85,0.331841327554182,17.3956378951552,84665.72300749,1.32740602500558
"baseline-posterior",1401,1401,"legacy","control",107,29,0.458333333333333,0.332500212399639,0.332500212399639,47.880030585548,1.22980607934852,3.12922663651524,107,0,0,107,0.331390983864312,0.159728909086986,78.1038888461262,0.815620707536692
"baseline-posterior",1401,1401,"legacy","bracelet",89,40,0.659722222222222,0.332224153135525,0.332224153135525,47.8402780515156,1.65367966992493,3.20998882267476,89,0,0,89,0.331390983864312,0.119976375054591,127.341687137601,1.33090454658809
"baseline-posterior",1402,1402,"population","control",101,35,0.449891725315454,0.281296784499766,0.30891385961362,29671.7940436074,1.2529849588048,3.18460428668241,101,0,0,101,0.307616704619096,124.594331534041,45848.6403106825,0.77259636278313
"baseline-posterior",1402,1402,"population","bracelet",83,46,0.682234622912589,0.293294327608848,0.308302606411629,29613.0819510498,1.7220000753288,3.2766433130779,83,0,0,83,0.307616704619096,65.8822389763736,80387.1154056376,1.35729059775874
"baseline-posterior",1402,1402,"legacy","control",105,30,0.479166666666667,0.30709345815529,0.30709345815529,44.2214579743617,1.27757645550397,3.20578151406565,105,0,0,105,0.307058633843606,0.00501470088241973,65.8938631207828,0.745043991527667
"baseline-posterior",1402,1402,"legacy","bracelet",87,43,0.694444444444444,0.308339184526954,0.308339184526954,44.4008425718813,1.71749125432772,3.20998882267476,87,0,0,87,0.307058633843606,0.184399298402063,120.960816353011,1.36214550610369
"baseline-posterior",1403,1403,"population","control",101,34,0.442354141506684,0.30641618997278,0.335240602687348,32200.5303693252,1.24736100170387,3.18966975273969,101,0,0,101,0.334513389288843,69.8503013531881,51598.7456020894,0.801209560995978
"baseline-posterior",1403,1403,"population","bracelet",87,43,0.627649606463166,0.316180756564933,0.335488036548098,32224.2968865179,1.60835351470058,3.27297399145503,87,0,0,87,0.334513389288843,93.6168185459646,76877.9456827751,1.19285683646583
"baseline-posterior",1403,1403,"legacy","control",106,29,0.465277777777778,0.335441114661596,0.335441114661596,48.3035205112698,1.25339703308763,3.20573768696429,106,0,0,106,0.333963146556845,0.212827407084156,74.4453858302305,0.770600000189029
